,id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
11482,6819100111,20141211T000000,4,2.5,2520,2600,2.0,0,0,5,8,1670,850,1925,0,98119,47.6434,-122.35799999999999,2290,3600,1125000
19052,7907600100,20150421T000000,4,2.0,1220,9147,1.0,0,0,5,7,1220,0,1953,0,98146,47.5011,-122.336,1220,8576,287500
17893,2122039137,20150413T000000,3,2.5,1656,108900,1.0,0,0,4,7,1656,0,1985,0,98070,47.3758,-122.425,2030,29859,462500
1993,8807600340,20150325T000000,3,1.0,1230,9660,1.0,0,0,3,7,1230,0,1968,0,98053,47.6829,-122.06,1380,10125,322000
15612,8074200185,20140825T000000,3,2.75,2120,7650,1.0,0,0,4,7,2120,0,1958,0,98056,47.4923,-122.178,1180,7650,370000
14087,3841600220,20140715T000000,2,1.75,1440,11210,1.0,0,0,4,6,1130,310,1935,0,98146,47.498000000000005,-122.35,1250,9381,282500
19048,1702901500,20141121T000000,2,1.0,920,6600,1.0,0,0,4,6,920,0,1910,0,98118,47.5572,-122.28200000000001,1370,5500,365000
1949,1922039062,20150420T000000,2,1.5,1008,26487,1.0,1,4,4,6,1008,0,1943,2002,98070,47.3853,-122.479,1132,24079,480000
15066,6880210020,20150308T000000,4,2.5,1910,7201,1.0,0,0,3,7,1210,700,1987,0,98198,47.3908,-122.316,1690,7554,340000
11994,2594200350,20150304T000000,2,1.0,910,7200,1.0,0,1,4,7,830,80,1936,0,98136,47.5145,-122.39,1700,7200,445000
17125,8100000080,20140813T000000,3,1.75,1070,7200,1.0,0,0,3,7,1070,0,1994,0,98010,47.3129,-122.023,1280,7200,224400
14634,431500155,20141024T000000,5,1.75,2020,6565,1.0,0,0,3,8,1120,900,1956,0,98115,47.6821,-122.28299999999999,2020,6552,640000
12593,7853301520,20140903T000000,5,3.25,3940,9780,2.0,0,0,3,9,3940,0,2007,0,98065,47.5435,-121.88799999999999,3550,8468,695000
6611,1433500050,20141202T000000,4,2.5,2720,13500,1.0,0,0,3,8,1510,1210,1969,0,98007,47.6191,-122.145,2510,12350,549950
14597,2525310220,20141016T000000,3,2.5,2170,9900,1.0,0,0,3,7,1690,480,1980,0,98038,47.3634,-122.031,1420,10614,242050
6954,6021500840,20140703T000000,5,3.0,2190,4900,2.0,0,0,5,7,1490,700,1940,0,98117,47.6892,-122.38600000000001,1370,4606,588000
17802,2206500110,20140905T000000,4,1.75,1520,9600,1.0,0,0,4,7,1000,520,1955,0,98006,47.5763,-122.154,1510,9000,508450
1507,2214800270,20140925T000000,4,2.5,2770,7000,1.0,0,0,4,7,1940,830,1979,0,98001,47.3396,-122.256,2140,7684,355000
4688,4358700100,20141202T000000,3,2.5,1450,5175,1.0,0,0,3,8,1030,420,1995,0,98133,47.7082,-122.338,1740,9250,465000
20213,9358001403,20140903T000000,3,3.25,1450,1468,2.0,0,0,3,8,1100,350,2009,0,98126,47.5664,-122.37,1450,1478,380000
4939,302000545,20150127T000000,4,2.25,2710,22860,1.0,0,0,4,7,1850,860,1962,0,98001,47.3207,-122.266,1700,22860,359000
20786,7600136,20140718T000000,2,2.0,1130,1148,2.0,0,0,3,9,800,330,2007,0,98122,47.6023,-122.314,1350,1201,411000
18280,9533100145,20150205T000000,3,1.0,1120,8549,1.0,0,0,3,7,1120,0,1952,0,98004,47.6294,-122.205,1440,8640,750000
5895,3790600080,20150408T000000,3,2.25,1590,9960,1.0,0,0,3,7,1060,530,1976,0,98155,47.7742,-122.287,1860,9760,434975
217,1909600046,20140703T000000,3,2.5,2250,5692,2.0,0,0,3,8,2250,0,2000,0,98146,47.5133,-122.37899999999999,1320,5390,445838
2943,8732750100,20140525T000000,4,3.5,2630,3435,1.5,0,3,3,7,1640,990,1984,0,98188,47.4355,-122.272,1920,2435,325000
9123,9407111250,20141029T000000,3,1.0,1020,8625,1.0,0,0,3,7,1020,0,1978,0,98045,47.4465,-121.77,1290,9440,245000
2678,8857320260,20141105T000000,3,2.75,1890,2614,2.0,0,0,4,9,1890,0,1979,0,98008,47.6102,-122.11399999999999,1800,2769,462000
12062,11200400,20140923T000000,3,2.5,1910,4488,2.0,0,0,3,8,1910,0,1998,0,98007,47.6176,-122.14,1530,3696,617000
12912,3422059257,20140828T000000,5,2.75,2166,6342,2.0,0,0,3,8,2166,0,2013,0,98042,47.3461,-122.152,2474,5948,326000
6270,8078400010,20141118T000000,4,2.25,2240,8376,1.0,0,0,3,8,1740,500,1984,0,98074,47.6323,-122.029,1890,7875,530000
4801,3574801350,20141120T000000,3,2.0,1410,8088,1.0,0,0,3,7,1410,0,1987,0,98034,47.7303,-122.227,1770,7401,410000
1437,4473400045,20140826T000000,3,2.0,2040,5600,1.0,0,1,5,7,1120,920,1954,0,98144,47.5959,-122.29299999999999,2120,4958,535000
20322,5556300098,20140612T000000,5,4.0,4410,14380,2.0,0,0,3,11,4410,0,2006,0,98052,47.6463,-122.12100000000001,2720,11454,1240000
10943,3630060070,20141021T000000,2,2.25,1700,2383,2.0,0,0,3,8,1700,0,2005,0,98029,47.547,-121.99700000000001,1700,2700,472500
19833,325059277,20140527T000000,4,2.5,3330,7399,2.0,0,0,3,9,3330,0,2009,0,98052,47.678999999999995,-122.15299999999999,2640,8601,760000
10032,2997800075,20140929T000000,3,2.75,1670,1350,3.0,0,0,3,9,1350,320,2014,0,98116,47.5764,-122.40799999999999,1520,4800,649950
19627,8682302030,20140521T000000,3,2.0,1440,4421,1.0,0,0,3,8,1440,0,2007,0,98053,47.7188,-122.024,1440,4157,413800
12065,1036400200,20150213T000000,4,1.75,1670,13125,1.0,0,0,5,8,1670,0,1973,0,98052,47.6315,-122.101,2360,12500,661000
21356,5422950020,20140630T000000,4,2.5,2280,5000,2.0,0,0,3,7,2280,0,2006,0,98038,47.3593,-122.037,2910,5000,345000
17634,1532300155,20140916T000000,4,1.0,1080,6095,1.5,0,0,4,6,1080,0,1924,0,98103,47.6962,-122.346,1200,5060,425000
1700,1545803240,20141031T000000,3,2.25,1520,7930,1.0,0,0,3,7,1160,360,1988,0,98038,47.3605,-122.04899999999999,1530,7930,270000
14172,1387301430,20140818T000000,3,2.25,1650,7313,1.0,0,0,3,7,1220,430,1975,0,98011,47.7375,-122.194,1690,7252,460000
10128,5067400162,20150218T000000,3,2.0,1550,18958,1.5,0,0,3,7,1550,0,1983,0,98198,47.3699,-122.319,1840,12826,290000
18538,7905200205,20141021T000000,3,1.0,1230,7020,1.0,0,0,3,7,1090,140,1924,0,98116,47.5719,-122.39,1390,5850,410000
15299,705730280,20140819T000000,3,2.5,1740,5267,2.0,0,0,3,7,1740,0,1999,0,98038,47.3777,-122.023,2180,5000,325000
9481,3630120880,20150227T000000,3,3.5,3310,5558,2.0,0,0,3,9,3310,0,2005,0,98029,47.5553,-122.00299999999999,3310,5270,780000
1759,8670000060,20140827T000000,4,2.5,2710,12138,1.0,0,0,3,8,1700,1010,1968,0,98155,47.7657,-122.29,2390,10052,535000
13569,9558050450,20150330T000000,3,2.5,2780,6000,2.0,0,0,3,9,2780,0,2004,0,98058,47.4569,-122.118,1940,3466,479950
5116,8682231190,20141021T000000,2,2.0,1930,4500,1.0,0,0,3,8,1930,0,2003,0,98053,47.7104,-122.031,1670,5200,542000
15567,5493110080,20140815T000000,3,3.75,6030,39317,2.0,0,0,3,11,4440,1590,1991,0,98004,47.6055,-122.21,4040,12333,1825000
3558,4040200490,20140820T000000,3,1.75,1420,5170,1.0,0,0,4,7,1420,0,1963,0,98007,47.6151,-122.145,2250,7700,461000
14215,8156600210,20150326T000000,5,3.5,2980,5100,2.0,0,0,3,10,2370,610,2015,0,98115,47.6782,-122.29899999999999,1780,5100,1285000
9220,1726600120,20140701T000000,4,2.5,2840,12866,1.0,0,0,4,9,1780,1060,1977,0,98005,47.6388,-122.167,2840,13209,729032
7626,1777600450,20150505T000000,5,3.0,2500,11779,1.0,0,0,4,8,1550,950,1971,0,98006,47.5696,-122.12700000000001,2580,12055,730000
14322,2222039011,20141103T000000,5,1.75,2080,217800,1.0,0,0,5,7,2080,0,1963,0,98070,47.3884,-122.404,1670,213008,480000
16556,1423200170,20140612T000000,2,1.0,910,9869,1.0,0,0,3,6,910,0,1957,0,98058,47.4572,-122.184,1480,9750,223000
13438,8712100720,20140815T000000,3,2.0,2090,5015,1.5,0,0,5,7,2090,0,1920,0,98112,47.6378,-122.301,1930,4250,785000
11033,2592210370,20141031T000000,3,2.75,3860,12786,2.0,0,0,4,10,3860,0,1984,0,98006,47.549,-122.141,2820,14636,903000
491,2475200140,20150205T000000,3,2.0,1680,5036,1.0,0,1,4,7,1680,0,1987,0,98055,47.4734,-122.186,1680,4921,370000
12185,7686202065,20140723T000000,4,1.75,1920,7500,1.0,0,0,4,7,1920,0,1962,0,98198,47.4222,-122.318,1490,8000,170000
11508,2025079037,20141001T000000,3,2.25,2750,219542,2.0,0,0,3,7,1870,880,1981,0,98014,47.6367,-121.948,2430,219542,510000
20930,9126100813,20140828T000000,3,2.25,1620,1062,3.0,0,0,3,8,1620,0,2014,0,98122,47.6051,-122.304,1560,1728,490000
11017,4459800075,20140603T000000,3,2.0,2140,4923,1.0,0,0,4,8,1070,1070,1928,0,98103,47.6902,-122.339,1470,4923,710000
2834,324059112,20150325T000000,4,2.75,2060,21344,1.0,0,0,2,8,1460,600,1978,0,98005,47.5934,-122.154,2060,16088,675500
3899,3649100315,20140625T000000,4,2.25,2100,9984,1.0,0,0,4,7,1290,810,1973,0,98028,47.7365,-122.242,1930,10511,418800
8692,8835401250,20150506T000000,6,2.75,4430,6440,2.0,0,3,3,10,2680,1750,1964,2015,98118,47.5462,-122.265,3530,7314,1485000
21343,2924079034,20140925T000000,3,1.5,2580,47480,1.0,0,0,3,7,1360,1220,1953,0,98024,47.5333,-121.93299999999999,1760,48181,332220
6348,5422560470,20141203T000000,3,2.0,1650,6408,2.0,0,0,4,8,1650,0,1977,0,98052,47.6638,-122.12799999999999,1750,6402,440000
10325,1824059070,20141024T000000,4,2.5,2340,10800,1.0,0,0,3,8,2340,0,1953,2007,98040,47.5715,-122.225,2650,13500,880000
9646,2028701165,20140627T000000,2,1.0,1050,2570,1.0,0,0,5,7,850,200,1927,0,98117,47.6764,-122.366,1080,2800,430000
3021,3824100082,20150401T000000,3,2.75,2010,11200,1.0,0,0,3,8,1360,650,1979,0,98028,47.7728,-122.25299999999999,2200,10640,502000
18467,1775900220,20140922T000000,3,1.5,1320,15053,1.0,0,0,3,7,1320,0,1979,0,98072,47.7405,-122.095,1250,13368,300000
8429,9432900180,20140714T000000,4,2.75,2420,8438,2.0,0,0,3,8,2420,0,1996,0,98022,47.2091,-122.009,2420,8580,307999
18823,4040500100,20141020T000000,7,2.25,2620,6890,2.0,0,0,4,7,2620,0,1961,0,98007,47.6123,-122.134,2070,7910,539000
7490,6837700170,20140903T000000,2,1.0,1010,4050,1.0,0,0,3,7,1010,0,1950,0,98116,47.5838,-122.382,2310,5000,375000
13099,3395800155,20140805T000000,3,1.0,990,8100,1.0,0,0,3,6,990,0,1949,0,98146,47.4839,-122.34100000000001,1210,8100,250000
1231,613400030,20141024T000000,3,2.75,2030,6840,1.0,0,0,3,7,1210,820,1979,0,98108,47.5413,-122.29899999999999,1910,6365,360000
14143,5700000515,20141120T000000,4,2.0,2230,5000,1.5,0,0,4,7,1510,720,1922,0,98144,47.5772,-122.292,2140,5000,690000
12183,6610000320,20140910T000000,3,1.75,2040,4125,1.5,0,0,4,8,1540,500,1917,0,98107,47.6608,-122.359,1620,4400,710500
15616,809002705,20140710T000000,3,2.5,1370,1911,2.0,0,0,3,9,1370,0,1907,2011,98109,47.6375,-122.354,1630,2090,797000
11810,3299200075,20150204T000000,4,1.75,1700,10230,1.0,0,0,3,8,1320,380,1959,0,98133,47.7453,-122.351,2000,8006,429950
14325,1529300410,20150224T000000,2,1.0,870,5689,1.0,0,0,4,7,870,0,1948,0,98103,47.6988,-122.351,1100,5711,365000
13485,1238501099,20141031T000000,3,1.75,1310,8600,1.0,0,0,4,7,1310,0,1987,0,98033,47.68600000000001,-122.185,2510,8515,470000
14016,6303400150,20140929T000000,3,1.0,1160,8636,1.0,0,0,3,6,1160,0,1923,0,98146,47.5097,-122.35700000000001,1300,8636,255000
20268,9268851680,20140516T000000,3,2.5,2134,1984,2.5,0,0,3,8,2134,0,2008,0,98027,47.5402,-122.027,2170,1984,611000
778,7300400060,20140515T000000,4,2.5,2710,5880,2.0,0,0,3,9,2710,0,1998,0,98092,47.3314,-122.17200000000001,2520,6000,370000
21127,1250200414,20150218T000000,3,2.25,1110,979,2.0,0,0,3,7,960,150,2008,0,98144,47.5999,-122.3,1170,1400,365000
4003,6209000165,20140724T000000,4,1.75,2290,7765,1.0,0,0,3,6,2290,0,1936,1953,98146,47.4997,-122.353,1240,8215,247500
6899,6150200005,20141023T000000,3,1.0,1150,6800,1.0,0,0,3,7,1150,0,1954,0,98133,47.727,-122.339,1210,6800,410500
642,4140090320,20150320T000000,5,2.75,3740,6750,1.0,0,0,4,8,1980,1760,1978,0,98028,47.7679,-122.26100000000001,2620,7920,595000
20964,1442880610,20140829T000000,4,2.75,2790,6685,2.0,0,0,3,8,2790,0,2014,0,98045,47.4838,-121.773,2790,6444,533380
21426,1070000180,20141015T000000,4,3.5,3660,4760,2.0,0,0,3,9,2840,820,2014,0,98199,47.6482,-122.40899999999999,3210,4640,1107461
11947,3303980140,20150402T000000,4,3.0,4160,13170,2.0,0,0,3,11,3040,1120,2001,0,98059,47.5182,-122.149,3780,13148,1150000
9746,5422430320,20140721T000000,4,2.5,1770,6666,2.0,0,0,3,7,1770,0,1989,0,98023,47.2877,-122.34899999999999,1780,6666,309950
6952,4139500080,20140718T000000,4,4.25,5180,13077,2.0,0,3,3,12,4280,900,1998,0,98006,47.5513,-122.109,5030,15069,1488000
6945,1151100010,20140515T000000,3,1.0,1330,20562,1.5,0,0,3,5,1330,0,1959,0,98045,47.4807,-121.775,1350,20562,280000
9556,3179100180,20150507T000000,5,3.25,2920,6960,2.0,0,1,3,9,2120,800,1953,2008,98105,47.6712,-122.272,2470,6735,1540000
20746,3166900270,20150402T000000,3,2.5,2424,6143,2.0,0,0,3,9,2424,0,2014,0,98030,47.3512,-122.135,2381,6036,391500
14153,8835200230,20140702T000000,4,2.5,1850,5444,2.0,0,0,5,7,1850,0,1981,0,98034,47.7227,-122.16,1540,5000,475000
3841,3342700405,20140522T000000,4,1.75,3000,42200,1.0,0,3,3,7,1500,1500,1950,0,98056,47.5265,-122.20200000000001,2500,9821,585000
16482,522059327,20140528T000000,2,1.0,740,9003,1.0,0,0,3,5,740,0,1949,0,98031,47.4217,-122.197,1230,8050,157500
9436,2591720360,20141226T000000,3,2.5,2750,37096,2.0,0,0,3,9,2750,0,1989,0,98038,47.3732,-122.023,2700,40091,375000
3842,9276201140,20150213T000000,3,2.0,2220,5000,1.0,0,0,4,7,1110,1110,1966,0,98116,47.5807,-122.39399999999999,1450,5000,576750
20501,8895800090,20140512T000000,4,3.25,3270,5187,2.0,0,0,3,9,3110,160,2014,0,98052,47.6966,-122.133,3600,5825,1033888
13488,7212660540,20150115T000000,4,2.5,1720,8638,2.0,0,0,3,8,1720,0,1994,0,98003,47.2704,-122.31299999999999,1870,7455,200000
19377,8078050120,20141210T000000,3,2.0,1350,8587,1.0,0,0,3,7,1350,0,1998,0,98022,47.2073,-122.012,1350,8587,244000
5112,3924500130,20150506T000000,2,2.5,1880,40575,1.0,0,0,3,9,1880,0,1987,0,98024,47.5614,-121.899,1930,32935,460000
20426,2424059061,20141111T000000,4,3.5,3500,43560,2.0,0,0,3,9,2850,650,2014,0,98006,47.5481,-122.103,3640,40545,998000
1373,8032700140,20141028T000000,5,3.0,2920,2808,2.0,0,0,3,8,2140,780,1960,1992,98103,47.653999999999996,-122.34200000000001,1620,1544,830000
13590,4024101395,20140513T000000,3,1.75,1650,8254,1.0,0,0,5,7,1060,590,1951,0,98155,47.7596,-122.304,2280,9450,370000
3177,2770605065,20141118T000000,2,1.0,1180,6000,1.0,0,0,3,7,1180,0,1910,0,98119,47.6531,-122.37299999999999,1600,6000,450000
6410,561500290,20140711T000000,3,1.75,1660,37642,1.0,0,0,4,7,1660,0,1991,0,98022,47.2559,-122.007,2070,54450,315000
9716,5683500030,20150320T000000,4,1.0,1150,5217,1.5,0,0,3,7,1150,0,1951,0,98115,47.6806,-122.287,1220,5217,489000
18136,4154302560,20141121T000000,3,1.5,2440,7200,1.0,0,0,3,7,2440,0,1949,0,98118,47.5604,-122.274,1920,6900,550000
11991,1330910370,20141020T000000,4,3.0,4370,217882,2.0,0,0,3,10,4370,0,1984,0,98053,47.6573,-122.03399999999999,2430,35096,897500
20282,3356402705,20150317T000000,4,2.5,1847,8000,2.0,0,0,3,7,1847,0,2008,0,98001,47.2874,-122.257,1767,8000,216000
6420,5104531640,20150323T000000,4,3.0,3400,5100,2.0,0,0,3,9,3400,0,2006,0,98038,47.3548,-122.00200000000001,3400,5672,585000
11156,9144100126,20140821T000000,3,1.0,1680,8910,1.0,0,0,4,7,1680,0,1940,0,98117,47.7011,-122.375,1620,7182,489900
15413,9414610020,20140618T000000,5,3.25,3160,10000,2.0,0,0,4,8,3160,0,1980,0,98027,47.52,-122.04700000000001,2130,10000,574950
19424,3331500650,20140919T000000,3,1.0,920,3863,1.0,0,0,3,6,920,0,1970,0,98118,47.5524,-122.27,1080,5150,356000
17047,9315000010,20150303T000000,4,2.0,1760,8400,1.0,0,0,3,7,1060,700,1962,0,98003,47.3258,-122.323,1280,8415,247500
20753,3630200520,20150421T000000,4,2.5,2580,5787,2.0,0,0,3,9,2580,0,2007,0,98029,47.5416,-121.994,2580,4410,775000
11167,7567600030,20150127T000000,5,1.75,2640,13290,1.0,1,4,4,8,1400,1240,1954,0,98178,47.5022,-122.223,2400,11942,750000
3828,6929602605,20150203T000000,3,1.75,1200,8631,1.0,0,0,3,7,1200,0,1959,0,98198,47.3864,-122.30799999999999,1564,8115,205000
21094,3630240020,20140521T000000,3,3.0,1960,1168,2.0,0,0,3,9,1600,360,2007,0,98027,47.5445,-122.014,2080,1423,556000
11273,9828202325,20140619T000000,2,1.0,790,6600,1.0,0,0,3,6,790,0,1949,0,98122,47.6149,-122.29299999999999,1520,4400,436000
5510,1771000440,20140904T000000,3,1.0,1160,9750,1.0,0,0,3,7,1160,0,1968,0,98077,47.7429,-122.072,1160,10565,322500
14663,8818400155,20150405T000000,3,1.0,1590,4080,1.5,0,0,3,7,1590,0,1922,0,98105,47.662,-122.32600000000001,1570,4080,630000
17211,7227801630,20150227T000000,4,2.0,1440,10920,1.0,0,0,3,5,1440,0,1943,0,98056,47.5049,-122.18,1500,11902,275000
460,6154500070,20140626T000000,4,3.5,3450,7832,2.0,0,0,3,10,3450,0,2007,0,98006,47.5637,-122.12299999999999,3220,8567,1050000
17021,6404600006,20140820T000000,3,2.0,1210,9097,1.0,0,0,4,7,1210,0,1954,0,98168,47.4849,-122.303,1360,10125,173250
18173,2490200620,20140811T000000,3,1.0,1660,5100,1.0,0,0,3,7,1260,400,1957,0,98136,47.5323,-122.383,1230,5100,535000
19404,5700002165,20141030T000000,2,1.0,1840,4322,1.0,0,0,4,7,1160,680,1914,0,98144,47.5764,-122.289,1750,4322,513000
6690,3585300415,20150507T000000,3,1.75,1680,28046,1.0,0,3,3,8,1180,500,1948,0,98177,47.7648,-122.37,2190,26308,620000
19565,4046700110,20150224T000000,3,1.75,1950,15037,1.0,0,0,3,7,1950,0,1989,0,98014,47.6892,-121.913,1760,15181,323000
1761,235000075,20140718T000000,5,2.75,2540,5022,1.0,0,0,4,8,1540,1000,1955,0,98108,47.5593,-122.3,2510,5182,531000
8463,1875500040,20150127T000000,3,2.5,2040,14071,2.0,0,0,3,7,2040,0,1995,0,98019,47.7278,-121.963,1890,14040,330000
15490,1096100010,20141028T000000,2,1.0,1210,7040,1.0,0,0,3,7,1210,0,1952,0,98155,47.745,-122.29700000000001,1210,7205,320000
12780,418000330,20140808T000000,2,1.0,700,5200,1.0,0,0,5,5,700,0,1952,0,98056,47.4924,-122.17399999999999,970,5200,199950
1051,7625704510,20141022T000000,4,3.25,3450,6500,2.0,0,0,3,8,2450,1000,1994,0,98136,47.5437,-122.38799999999999,1750,6500,850000
1937,2926069062,20140811T000000,3,2.5,3050,33920,1.0,0,0,3,8,3050,0,2004,0,98052,47.7034,-122.072,1970,60984,840000
14561,9407102245,20140604T000000,3,2.0,1350,11150,1.0,0,0,3,7,1110,240,1995,0,98045,47.446000000000005,-121.77600000000001,1290,10043,310000
2581,9178600055,20150505T000000,2,1.0,1140,3990,1.0,0,0,3,7,1140,0,1924,0,98103,47.6554,-122.333,1800,5700,695000
13935,2159900120,20140822T000000,2,2.5,1470,2034,2.0,0,0,4,8,1470,0,1985,0,98007,47.6213,-122.15299999999999,1510,2055,419000
823,726049190,20141002T000000,3,1.0,1810,7200,1.0,0,0,4,7,1130,680,1954,0,98133,47.7493,-122.351,1810,8100,287500
2436,2597710070,20150402T000000,2,2.0,1770,7607,1.0,0,0,4,8,1770,0,1987,0,98058,47.4287,-122.163,2090,7109,360000
7671,3904902430,20150403T000000,3,2.5,2440,10363,2.0,0,0,3,9,2440,0,1988,0,98029,47.5634,-122.016,2500,10728,620000
8181,1139000215,20140718T000000,2,1.75,1270,7560,1.5,0,0,4,7,1270,0,1932,0,98133,47.7083,-122.35700000000001,1480,7560,416000
8811,5035300834,20140530T000000,3,1.75,1700,8400,1.0,0,0,3,8,1460,240,1947,0,98199,47.6534,-122.415,2010,7000,750000
2836,7582700100,20141111T000000,3,3.25,3440,4080,2.0,0,0,3,9,2560,880,2005,0,98105,47.6644,-122.28,3110,4080,1324050
16599,8691300500,20141028T000000,4,2.5,2880,12349,2.0,0,0,3,10,2880,0,1996,0,98075,47.5879,-121.973,3490,11539,710000
9492,3995700220,20150317T000000,3,1.0,1380,8147,1.0,0,0,4,7,1380,0,1948,0,98155,47.7407,-122.3,1360,8147,380000
13464,3420069060,20141107T000000,3,2.5,2640,432036,1.5,0,3,3,10,2640,0,1996,0,98022,47.1795,-122.036,1500,560617,790000
9960,1822059331,20140716T000000,3,1.5,1500,15000,1.0,0,0,3,7,1500,0,1952,0,98031,47.3926,-122.208,1790,13905,215000
15326,5469700020,20150206T000000,4,1.75,1800,28650,1.0,0,0,4,7,1800,0,1975,0,98031,47.3926,-122.166,1800,5234,295000
3715,3423049165,20150331T000000,3,1.0,1270,12733,1.0,0,0,3,7,1270,0,1955,0,98188,47.445,-122.27600000000001,1660,11536,240000
5635,4365200895,20150417T000000,4,1.0,1210,7740,1.5,0,0,3,7,1210,0,1922,0,98126,47.5216,-122.374,1100,7740,364000
15134,3353400840,20141202T000000,6,1.5,2140,36509,1.5,0,0,4,8,2140,0,1903,1979,98001,47.2668,-122.25200000000001,1710,12000,230000
20312,7515000143,20140805T000000,3,2.25,1360,1041,2.0,0,0,3,8,1094,266,2006,0,98117,47.6925,-122.375,1522,1382,399950
20225,2326600130,20150225T000000,4,3.5,3640,4983,2.0,0,3,3,9,2790,850,2014,0,98075,47.5619,-122.027,3270,14700,895900
21607,2997800021,20150219T000000,3,2.5,1310,1294,2.0,0,0,3,8,1180,130,2008,0,98116,47.5773,-122.40899999999999,1330,1265,475000
4906,6600220080,20150204T000000,3,1.5,1280,15028,1.0,0,0,3,7,1280,0,1982,0,98074,47.6304,-122.035,1470,13698,395000
1766,9521101221,20140519T000000,4,2.0,1690,3250,1.5,0,0,3,7,1550,140,1901,0,98103,47.6637,-122.346,1620,3250,487250
13475,2426049079,20150506T000000,3,1.0,1060,20040,1.0,0,0,3,6,1060,0,1943,0,98034,47.7281,-122.235,1768,10800,330000
7274,9828700005,20150512T000000,3,1.0,1040,4000,1.0,0,0,3,7,1040,0,1950,0,98122,47.6178,-122.292,1170,4000,440000
10085,7767000060,20140912T000000,5,4.25,6510,16471,2.0,0,3,4,11,3250,3260,1980,0,98040,47.5758,-122.242,4480,16471,1900000
15945,8649900440,20141209T000000,4,2.5,2980,8770,2.0,0,0,3,10,2980,0,1990,0,98075,47.5814,-122.029,2940,9238,680000
20813,9301300270,20150223T000000,3,3.0,3180,2758,2.0,0,2,3,11,2240,940,2008,0,98109,47.6377,-122.34200000000001,2420,2758,1325000
8392,3905010100,20140615T000000,4,2.5,2700,9122,2.0,0,0,3,9,2700,0,1990,0,98029,47.5771,-121.994,2500,9122,652500
18710,7205510230,20150306T000000,3,2.25,1700,7210,1.0,0,0,4,7,1250,450,1974,0,98003,47.3546,-122.318,2070,7300,280000
20721,5169700132,20150401T000000,4,2.5,2630,6283,2.0,0,0,3,9,2630,0,2006,0,98059,47.5079,-122.15799999999999,2630,7210,507950
21082,8562900430,20140718T000000,4,2.5,3691,11088,2.0,0,1,3,8,3691,0,2013,0,98074,47.6122,-122.059,3190,11270,800000
